Index,Parcel List
724,19-05-15-2-001-014.000
725,19-05-15-2-001-015.000
726,19-05-15-2-001-016.000
727,19-05-15-2-001-017.000
728,19-05-15-2-001-018.000
729,19-05-15-2-001-019.000
730,19-05-15-2-001-020.000
731,19-05-15-2-001-021.000
732,19-05-15-2-001-022.000
733,19-05-15-2-001-023.000
734,19-05-15-2-001-024.000
735,19-05-15-2-001-025.000
736,19-05-15-2-001-026.000
737,19-05-15-2-001-027.000
738,19-05-15-2-001-028.000
739,19-05-15-2-001-029.000
740,19-05-15-2-001-030.000
741,19-05-15-2-001-031.000
742,19-05-15-2-001-032.000
743,19-05-15-2-001-034.000
744,19-05-15-2-001-035.000
745,19-05-15-2-001-036.000
746,19-05-15-2-001-037.000
747,19-05-15-2-001-038.000
748,19-05-15-2-001-039.000
749,19-05-15-2-001-040.000
750,19-05-15-2-001-041.000
751,19-05-15-2-001-042.000
752,19-05-15-2-001-043.000
753,19-05-15-2-001-044.000
754,19-05-15-2-001-045.000
755,19-05-15-2-001-046.000
756,19-05-15-2-001-047.000
757,19-05-15-2-001-048.000
758,19-05-15-2-001-048.001
759,19-05-15-2-001-049.000
760,19-05-15-2-001-050.000
761,19-05-15-2-001-051.000
762,19-05-15-2-001-052.000
763,19-05-15-2-001-053.000
764,19-05-15-2-001-054.000
765,19-05-15-2-001-055.000
766,19-05-15-2-001-056.000
767,19-05-15-2-001-057.000
768,19-05-15-2-001-058.000
769,19-05-15-2-001-059.000
770,19-05-15-2-001-060.000
771,19-05-15-2-001-061.000
772,19-05-15-2-001-062.000
773,19-05-15-2-001-063.000
774,19-05-15-2-001-064.000
775,19-05-15-2-001-064.001
776,19-05-15-2-001-065.000
777,19-05-15-2-001-066.000
778,19-05-15-2-001-067.000
779,19-05-15-2-001-068.000
780,19-05-15-2-001-069.000
781,19-05-15-2-001-070.000
782,19-05-15-2-001-071.000
783,19-05-15-2-001-072.000
784,19-05-15-2-001-073.000
785,19-05-15-2-001-074.000
786,19-05-15-2-001-075.000
787,19-05-15-2-001-076.000
788,19-05-15-2-001-077.000
789,19-05-15-2-001-077.001
790,19-05-15-2-001-078.000
791,19-05-15-2-001-079.000
792,19-05-15-2-001-079.001
793,19-05-15-2-001-080.000
794,19-05-15-2-001-081.000
795,19-05-15-2-001-082.000
796,19-05-15-2-001-083.000
797,19-05-15-2-001-084.002
798,19-05-15-2-001-084.003
799,19-05-15-2-001-084.004
800,19-05-15-2-001-085.000
801,19-05-15-2-001-086.000
802,19-05-15-2-001-087.000
803,19-05-15-2-001-087.001
804,19-05-15-2-002-001.000
805,19-05-15-2-002-002.000
806,19-05-15-2-002-003.000
807,19-05-15-2-002-004.000
808,19-05-15-2-002-005.000
809,19-05-15-2-002-006.000
810,19-05-15-2-002-006.001
811,19-05-15-2-002-007.000
812,19-05-15-2-002-007.001
813,19-05-15-2-002-008.000
814,19-05-15-2-002-009.000
815,19-05-15-2-002-010.000
816,19-05-15-2-002-011.000
817,19-05-15-2-002-012.000
818,19-05-15-2-002-013.000
819,19-05-15-2-002-013.001
820,19-05-15-2-002-014.000
821,19-05-15-2-002-015.000
822,19-05-15-2-002-016.000
823,19-05-15-2-002-017.000
824,19-05-15-2-002-018.000
825,19-05-15-2-002-019.000
826,19-05-15-2-002-019.001
827,19-05-15-2-002-020.000
828,19-05-15-2-002-021.000
829,19-05-15-2-002-022.000
830,19-05-15-2-002-023.000
831,19-05-15-2-002-024.000
832,19-05-15-2-002-025.000
833,19-05-15-2-002-026.000
834,19-05-15-2-002-027.000
835,19-05-15-2-002-028.000
836,19-05-15-2-002-029.000
837,19-05-15-2-002-030.000
838,19-05-15-2-002-031.000
839,19-05-15-2-002-031.001
840,19-05-15-2-002-032.000
841,19-05-15-2-002-033.000
842,19-05-15-2-002-034.000
843,19-05-15-2-002-035.000
844,19-05-15-2-002-036.000
845,19-05-15-2-002-037.000
846,19-05-15-2-002-038.000
847,19-05-15-2-002-039.000
848,19-05-15-2-002-040.000
849,19-05-15-2-002-041.000
850,19-05-15-2-002-042.000
851,19-05-15-2-002-043.000
852,19-05-15-2-002-044.000
853,19-05-15-2-002-045.000
854,19-05-15-2-002-046.000
855,19-05-15-2-002-047.000
856,19-05-15-2-002-047.001
857,19-05-15-2-002-048.000
858,19-05-15-2-002-049.000
859,19-05-15-2-002-050.000
860,19-05-15-2-002-051.000
861,19-05-15-2-002-052.000
862,19-05-15-2-002-053.000
863,19-05-15-2-002-054.000
864,19-05-15-2-002-055.000
865,19-05-15-2-002-056.000
866,19-05-15-2-002-057.000
867,19-05-15-2-002-057.001
868,19-05-15-2-002-058.000
869,19-05-15-2-002-059.000
870,19-05-15-2-002-060.000
